en 10884 18353 0.593037
zh 1 18353 0.000054
vi 7 18353 0.000381
is 1 18353 0.000054
it 16 18353 0.000872
cs 6 18353 0.000327
cy 25 18353 0.001362
ar 31 18353 0.001689
in 337 18353 0.018362
eu 31 18353 0.001689
et 164 18353 0.008936
es 54 18353 0.002942
ru 9 18353 0.000490
nl 19 18353 0.001035
pt 36 18353 0.001962
no 12 18353 0.000654
tr 23 18353 0.001253
ne 2 18353 0.000109
lv 5 18353 0.000272
tl 132 18353 0.007192
lt 11 18353 0.000599
th 2 18353 0.000109
ro 25 18353 0.001362
pl 17 18353 0.000926
fr 49 18353 0.002670
bg 1 18353 0.000054
bn 2136 18353 0.116384
de 15 18353 0.000817
ht 53 18353 0.002888
hu 6 18353 0.000327
hi 201 18353 0.010952
fi 27 18353 0.001471
da 19 18353 0.001035
ja 12 18353 0.000654
te 1 18353 0.000054
ko 27 18353 0.001471
sv 5 18353 0.000272
ur 2 18353 0.000109
si 3 18353 0.000163
und 3942 18353 0.214788
uk 1 18353 0.000054
sl 2 18353 0.000109
my 1 18353 0.000054
