el 8 54622 0.000146
en 8422 54622 0.154187
zh 1 54622 0.000018
vi 2 54622 0.000037
is 2 54622 0.000037
it 40 54622 0.000732
iw 2 54622 0.000037
sv 10 54622 0.000183
cs 14 54622 0.000256
cy 12 54622 0.000220
ar 37077 54622 0.678792
in 359 54622 0.006572
eu 14 54622 0.000256
et 62 54622 0.001135
es 266 54622 0.004870
ru 5 54622 0.000092
nl 29 54622 0.000531
pt 64 54622 0.001172
no 8 54622 0.000146
tr 116 54622 0.002124
ne 46 54622 0.000842
lv 5 54622 0.000092
tl 1356 54622 0.024825
lt 3 54622 0.000055
th 76 54622 0.001391
ro 12 54622 0.000220
pl 21 54622 0.000384
ta 120 54622 0.002197
fr 178 54622 0.003259
sl 5 54622 0.000092
mr 3 54622 0.000055
bn 36 54622 0.000659
de 27 54622 0.000494
ht 47 54622 0.000860
da 12 54622 0.000220
fa 23 54622 0.000421
hi 139 54622 0.002545
fi 24 54622 0.000439
hu 13 54622 0.000238
ja 34 54622 0.000622
sr 1 54622 0.000018
ko 28 54622 0.000513
kn 1 54622 0.000018
ur 67 54622 0.001227
si 107 54622 0.001959
und 5629 54622 0.103054
ml 96 54622 0.001758
