en 9487 240028 0.039525
zh 3 240028 0.000012
vi 19 240028 0.000079
is 43 240028 0.000179
it 848 240028 0.003533
iw 2 240028 0.000008
cs 66 240028 0.000275
cy 96 240028 0.000400
ar 3 240028 0.000012
in 722 240028 0.003008
eu 338 240028 0.001408
et 210 240028 0.000875
es 205172 240028 0.854784
ru 16 240028 0.000067
nl 122 240028 0.000508
pt 3117 240028 0.012986
no 47 240028 0.000196
tr 231 240028 0.000962
lt 91 240028 0.000379
lv 54 240028 0.000225
tl 413 240028 0.001721
th 9 240028 0.000037
ro 301 240028 0.001254
pl 79 240028 0.000329
fr 672 240028 0.002800
de 170 240028 0.000708
ht 271 240028 0.001129
hu 77 240028 0.000321
fa 1 240028 0.000004
hi 26 240028 0.000108
fi 897 240028 0.003737
da 71 240028 0.000296
ja 83 240028 0.000346
ko 27 240028 0.000112
sv 72 240028 0.000300
und 16148 240028 0.067275
sl 24 240028 0.000100
