el 1 49725 0.000020
en 5455 49725 0.109703
zh 3 49725 0.000060
is 16 49725 0.000322
it 426 49725 0.008567
iw 2 49725 0.000040
eu 106 49725 0.002132
cy 75 49725 0.001508
in 189 49725 0.003801
cs 38 49725 0.000764
et 74 49725 0.001488
es 37319 49725 0.750508
ru 47 49725 0.000945
nl 36 49725 0.000724
pt 611 49725 0.012288
no 33 49725 0.000664
tr 64 49725 0.001287
lt 23 49725 0.000463
lv 9 49725 0.000181
tl 384 49725 0.007722
ro 67 49725 0.001347
pl 26 49725 0.000523
fr 324 49725 0.006516
bg 2 49725 0.000040
de 37 49725 0.000744
ht 266 49725 0.005349
da 20 49725 0.000402
hi 10 49725 0.000201
fi 70 49725 0.001408
hu 32 49725 0.000644
ja 7 49725 0.000141
sr 2 49725 0.000040
ko 5 49725 0.000101
sv 13 49725 0.000261
si 1 49725 0.000020
und 3926 49725 0.078954
uk 1 49725 0.000020
sl 5 49725 0.000101
