en 2657 17214 0.154351
vi 762 17214 0.044266
is 255 17214 0.014814
it 163 17214 0.009469
cs 58 17214 0.003369
cy 290 17214 0.016847
ar 74 17214 0.004299
in 876 17214 0.050889
eu 766 17214 0.044499
et 245 17214 0.014233
es 160 17214 0.009295
nl 995 17214 0.057802
pt 673 17214 0.039096
no 62 17214 0.003602
tr 229 17214 0.013303
lt 44 17214 0.002556
lv 22 17214 0.001278
tl 521 17214 0.030266
ro 100 17214 0.005809
pl 344 17214 0.019984
fr 3643 17214 0.211630
de 429 17214 0.024922
ht 1400 17214 0.081329
hu 33 17214 0.001917
hi 18 17214 0.001046
fi 577 17214 0.033519
da 135 17214 0.007842
ja 7 17214 0.000407
sv 140 17214 0.008133
und 1428 17214 0.082956
sl 108 17214 0.006274
